Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00120,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,17-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2,µg/g,2013_TS020,,,
C2013COUM00121,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.9,µg/g,2013_TS020,,,
C2013COUM00122,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.8,µg/g,2013_TS020,,,
C2013COUM00123,ONTARIO,Domestic,Domestique,CANADA,CANADA,Bakery Product - Cookie,Biscuits,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.6,µg/g,2013_TS020,,,
C2013COUM00124,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,293,µg/g,2013_TS020,,,
C2013COUM00125,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00126,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.8,µg/g,2013_TS020,,,
C2013COUM00127,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,18-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,48.8,µg/g,2013_TS020,,,
C2013COUM00128,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,28-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,19.6,µg/g,2013_TS020,,,
C2013COUM00129,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,18-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,967,µg/g,2013_TS020,,,
C2013COUM00130,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,53.7,µg/g,2013_TS020,,,
C2013COUM00131,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.7,µg/g,2013_TS020,,,
C2013COUM00132,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.9,µg/g,2013_TS020,,,
C2013COUM00133,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.3,µg/g,2013_TS020,,,
C2013COUM00134,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00135,ONTARIO,Domestic,Domestique,CANADA,CANADA,Oatmeal,Flocons d'avoine,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,10.6,µg/g,2013_TS020,,,
C2013COUM00136,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.8,µg/g,2013_TS020,,,
C2013COUM00137,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.8,µg/g,2013_TS020,,,
C2013COUM00138,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Bakery Product - Cookie,Biscuits,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,36.1,µg/g,2013_TS020,,,
C2013COUM00139,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.3,µg/g,2013_TS020,,,
C2013COUM00140,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,16.5,µg/g,2013_TS020,,,
C2013COUM00141,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,31.4,µg/g,2013_TS020,,,
C2013COUM00142,ONTARIO,Import,Importé,PAKISTAN,PAKISTAN,Spice - Mixed,mélanges d'épices,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.4,µg/g,2013_TS020,,,
C2013COUM00143,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00144,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.8,µg/g,2013_TS020,,,
C2013COUM00145,ONTARIO,Domestic,Domestique,CANADA,CANADA,Granola/Cereal Bar,Barre Granola/de céréales,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.3,µg/g,2013_TS020,,,
C2013COUM00146,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,03-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.4,µg/g,2013_TS020,,,
C2013COUM00147,ONTARIO,Import,Importé,CHINA,CHINE,Spice - Mixed,mélanges d'épices,03-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,10.2,µg/g,2013_TS020,,,
C2013COUM00148,ONTARIO,Import,Importé,CHINA,CHINE,Spice - Mixed,mélanges d'épices,03-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.5,µg/g,2013_TS020,,,
C2013COUM00149,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,905,µg/g,2013_TS020,,,
C2013COUM00150,ONTARIO,Import,Importé,UNITED KINGDOM,ROYAUME-UNI,Tea - Herbal,Thé - Herbal,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,158,µg/g,2013_TS020,,,
C2013COUM00151,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,04-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,512,µg/g,2013_TS020,,,
C2013COUM00152,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,19.7,µg/g,2013_TS020,,,
C2013COUM00153,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,22.3,µg/g,2013_TS020,,,
C2013COUM00154,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,17.2,µg/g,2013_TS020,,,
C2013COUM00155,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.4,µg/g,2013_TS020,,,
C2013COUM00156,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,9.8,µg/g,2013_TS020,,,
C2013COUM00157,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - English Muffin,Pain - Muffin Anglais,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,20.7,µg/g,2013_TS020,,,
C2013COUM00158,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.2,µg/g,2013_TS020,,,
C2013COUM00159,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,10-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,18.6,µg/g,2013_TS020,,,
C2013COUM00160,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,16.1,µg/g,2013_TS020,,,
C2013COUM00161,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.6,µg/g,2013_TS020,,,
C2013COUM00162,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.3,µg/g,2013_TS020,,,
C2013COUM00163,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.9,µg/g,2013_TS020,,,
C2013COUM00164,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.5,µg/g,2013_TS020,,,
C2013COUM00165,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,385,µg/g,2013_TS020,,,
C2013COUM00166,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,09-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00167,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1050,µg/g,2013_TS020,,,
C2013COUM00168,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,136,µg/g,2013_TS020,,,
C2013COUM00169,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1360,µg/g,2013_TS020,,,
C2013COUM00170,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,40.6,µg/g,2013_TS020,,,
C2013COUM00171,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,29.4,µg/g,2013_TS020,,,
C2013COUM00172,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,26.7,µg/g,2013_TS020,,,
C2013COUM00173,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baking Mixes,Mélange à pâte,31-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,14.5,µg/g,2013_TS020,,,
C2013COUM00174,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.9,µg/g,2013_TS020,,,
C2013COUM00175,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,13.6,µg/g,2013_TS020,,,
C2013COUM00177,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.9,µg/g,2013_TS020,,,
C2013COUM00178,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,26.1,µg/g,2013_TS020,,,
C2013COUM00179,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.2,µg/g,2013_TS020,,,
C2013COUM00180,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.7,µg/g,2013_TS020,,,
C2013COUM00181,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Infant Food - Cereal,Céréales - Nourrissons,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,12.5,µg/g,2013_TS020,,,
C2013COUM00182,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.6,µg/g,2013_TS020,,,
C2013COUM00183,ONTARIO,Import,Importé,SWEDEN,SUÈDE,Bakery Product - Cookie,Biscuits,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.3,µg/g,2013_TS020,,,
C2013COUM00184,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.6,µg/g,2013_TS020,,,
C2013COUM00185,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00186,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,212,µg/g,2013_TS020,,,
C2013COUM00187,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Granola/Cereal Bar,Barre Granola/de céréales,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.3,µg/g,2013_TS020,,,
C2013COUM00188,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Granola/Cereal Bar,Barre Granola/de céréales,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,15.8,µg/g,2013_TS020,,,
C2013COUM00189,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1430,µg/g,2013_TS020,,,
C2013COUM00190,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,201,µg/g,2013_TS020,,,
C2013COUM00191,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,939,µg/g,2013_TS020,,,
C2013COUM00192,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,629,µg/g,2013_TS020,,,
C2013COUM00193,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,729,µg/g,2013_TS020,,,
C2013COUM00194,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,26-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,52,µg/g,2013_TS020,,,
C2013COUM00195,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,57.6,µg/g,2013_TS020,,,
C2013COUM00196,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.6,µg/g,2013_TS020,,,
C2013COUM00197,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.9,µg/g,2013_TS020,,,
C2013COUM00198,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,16.4,µg/g,2013_TS020,,,
C2013COUM00199,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,03-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,9.9,µg/g,2013_TS020,,,
C2013COUM00200,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,03-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,20.7,µg/g,2013_TS020,,,
C2013COUM00201,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.9,µg/g,2013_TS020,,,
C2013COUM00202,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00203,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00204,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Infant Food - Cereal,Céréales - Nourrissons,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.4,µg/g,2013_TS020,,,
C2013COUM00205,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Dried mixes,Mélanges sec,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,111,µg/g,2013_TS020,,,
C2013COUM00206,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Dried mixes,Mélanges sec,03-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.6,µg/g,2013_TS020,,,
C2013COUM00207,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.9,µg/g,2013_TS020,,,
C2013COUM00208,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,10.1,µg/g,2013_TS020,,,
C2013COUM00209,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.8,µg/g,2013_TS020,,,
C2013COUM00210,ONTARIO,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,04-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,330,µg/g,2013_TS020,,,
C2013COUM00211,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Green,Thé - vert,03-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,98,µg/g,2013_TS020,,,
C2013COUM00212,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,73.8,µg/g,2013_TS020,,,
C2013COUM00213,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.9,µg/g,2013_TS020,,,
C2013COUM00214,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,9.4,µg/g,2013_TS020,,,
C2013COUM00215,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,09-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,15.2,µg/g,2013_TS020,,,
C2013COUM00216,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,09-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.1,µg/g,2013_TS020,,,
C2013COUM00217,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,35,µg/g,2013_TS020,,,
C2013COUM00218,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,27.9,µg/g,2013_TS020,,,
C2013COUM00219,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,14.2,µg/g,2013_TS020,,,
C2013COUM00220,ONTARIO,Domestic,Domestique,CANADA,CANADA,Bakery Product - Bread - Other,Pain - Autre,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.3,µg/g,2013_TS020,,,
C2013COUM00221,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.7,µg/g,2013_TS020,,,
C2013COUM00222,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Adult,Céréales - Adultes,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,15.6,µg/g,2013_TS020,,,
C2013COUM00223,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.5,µg/g,2013_TS020,,,
C2013COUM00224,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,30-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.3,µg/g,2013_TS020,,,
C2013COUM00225,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.7,µg/g,2013_TS020,,,
C2013COUM00226,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00227,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.4,µg/g,2013_TS020,,,
C2013COUM00228,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,30-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.3,µg/g,2013_TS020,,,
C2013COUM00229,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.4,µg/g,2013_TS020,,,
C2013COUM00230,ONTARIO,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,26-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.9,µg/g,2013_TS020,,,
C2013COUM00231,ONTARIO,Domestic,Domestique,CANADA,CANADA,Bakery Product - Cookie,Biscuits,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5,µg/g,2013_TS020,,,
C2013COUM00232,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,10.6,µg/g,2013_TS020,,,
C2013COUM00233,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6,µg/g,2013_TS020,,,
C2013COUM00234,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,09-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,102,µg/g,2013_TS020,,,
C2013COUM00235,ONTARIO,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.4,µg/g,2013_TS020,,,
C2013COUM00236,ONTARIO,Import,Importé,PAKISTAN,PAKISTAN,Spice - Mixed,mélanges d'épices,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4,µg/g,2013_TS020,,,
C2013COUM00237,ONTARIO,Import,Importé,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,309,µg/g,2013_TS020,,,
C2013COUM00238,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Black,Thé - Noir,25-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,14.7,µg/g,2013_TS020,,,
C2013COUM00239,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Herbal,Thé - Herbal,30-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,887,µg/g,2013_TS020,,,
C2013COUM00240,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,17.4,µg/g,2013_TS020,,,
C2013COUM00241,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,13,µg/g,2013_TS020,,,
C2013COUM00242,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.7,µg/g,2013_TS020,,,
C2013COUM00243,ONTARIO,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.4,µg/g,2013_TS020,,,
C2013COUM00244,ONTARIO,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.3,µg/g,2013_TS020,,,
C2013COUM00245,ONTARIO,Domestic,Domestique,CANADA,CANADA,Baking Mixes,Mélange à pâte,24-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,125,µg/g,2013_TS020,,,
