Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00028,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.1,µg/g,2013_TS020,,,
C2013COUM00029,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.8,µg/g,2013_TS020,,,
C2013COUM00030,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.6,µg/g,2013_TS020,,,
C2013COUM00031,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1,µg/g,2013_TS020,,,
C2013COUM00032,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.7,µg/g,2013_TS020,,,
C2013COUM00033,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Tea - Herbal,Thé - Herbal,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,760,µg/g,2013_TS020,,,
C2013COUM00034,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,30-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,83.3,µg/g,2013_TS020,,,
C2013COUM00035,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,26-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4.1,µg/g,2013_TS020,,,
C2013COUM00036,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,26-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.1,µg/g,2013_TS020,,,
C2013COUM00037,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Cookie,Biscuits,26-Oct-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.5,µg/g,2013_TS020,,,
C2013COUM00038,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baked Goods,Produits de boulangerie,30-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1.2,µg/g,2013_TS020,,,
C2013COUM00039,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Baking Mixes,Mélange à pâte,30-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.4,µg/g,2013_TS020,,,
C2013COUM00040,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.7,µg/g,2013_TS020,,,
C2013COUM00041,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Infant Food - Cereal,Céréales - Nourrissons,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.5,µg/g,2013_TS020,,,
C2013COUM00042,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,908,µg/g,2013_TS020,,,
C2013COUM00043,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,30-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,135,µg/g,2013_TS020,,,
C2013COUM00044,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,29-Nov-13,COUMARIN,COUMARIN,Coumarin,La coumarine,54.5,µg/g,2013_TS020,,,
C2013COUM00045,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Oatmeal,Flocons d'avoine,20-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,17.8,µg/g,2013_TS020,,,
C2013COUM00046,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,20-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,12.3,µg/g,2013_TS020,,,
C2013COUM00047,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Cereal - Children,Céréales - Enfants,20-Dec-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.3,µg/g,2013_TS020,,,
